en,ja
St. Raymond of Peñafort,ペニャフォルトの聖ライムンド
Easter,御復活の祝日
Jubilate Sunday,御復活後第三の主日（Jubilate Sunday）
Cantate Sunday,御復活後第五の主日（Cantate Sunday）
The Supplica (Our Lady of Pompeii),祈り（ポンペイの聖母）
Ascension,我らの主イエズス・キリストの御昇天
Sunday after Ascension,御昇天後の主日
Friday after the First Sunday in Passiontide,ご受難の主日後の金曜日
Fifth Day within the Octave of Christmas,主の御降誕の八日間内第五日
Sixth Day within the Octave of Christmas,主の御降誕の八日間内第六日
Seventh Day within the Octave of Christmas,主の御降誕の八日間内第七日
Octave Day of the Nativity of the Lord,わが主のご降誕後の八日目
Pentecost,聖霊降臨の主日
The Holy Rosary,ロザリオの童貞マリアの祝日
St. Thomas More,聖トマス・モア
St. Peter of Alcántara,アルカンタラの聖ペトロ
St. Paul,使徒聖パウロの記念
St. Anastasia,聖アナスタジア
